Rank,NOC,Gold,Silver,Bronze,Total,Year
1,United States,11,7,2,20,1896
2,Greece,10,18,19,47,1896
3,Germany,6,5,2,13,1896
4,France,5,4,2,11,1896
5,Great Britain,2,3,2,7,1896
6,Hungary,2,1,3,6,1896
7,Austria,2,1,2,5,1896
8,Australia,2,0,0,2,1896
9,Denmark,1,2,3,6,1896
10,Switzerland,1,2,0,3,1896
11,Mixed team,1,0,1,2,1896
1,France,27,39,37,103,1900
2,United States,19,14,15,48,1900
3,Great Britain,15,7,9,31,1900
4,Mixed team,8,5,6,19,1900
5,Belgium,6,7,4,17,1900
6,Switzerland,6,2,1,9,1900
7,Germany,4,3,2,9,1900
8,Italy,3,2,0,5,1900
9,Australia,2,0,3,5,1900
10,Denmark,1,3,2,6,1900
11,Hungary,1,2,2,5,1900
12,Cuba,1,1,0,2,1900
13,Canada,1,0,1,2,1900
14,Spain,1,0,0,1,1900
14,Luxembourg,1,0,0,1,1900
16,Austria,0,3,3,6,1900
17,Norway,0,2,3,5,1900
17,Netherlands,0,2,3,5,1900
19,India,0,2,0,2,1900
20,Bohemia,0,1,1,2,1900
21,Sweden,0,0,1,1,1900
1,United States,76,78,77,231,1904
2,Germany,4,5,6,15,1904
3,Canada,4,1,1,6,1904
4,Cuba,3,0,0,3,1904
5,Hungary,2,1,1,4,1904
5,Mixed team,2,1,1,4,1904
7,Norway,2,0,0,2,1904
8,Austria,1,1,1,3,1904
9,Great Britain,1,1,0,2,1904
10,Switzerland,1,0,2,3,1904
11,Greece,1,0,1,2,1904
12,Australia,0,3,1,4,1904
13,France,0,1,0,1,1904
1,Great Britain,56,51,39,146,1908
2,United States,23,12,12,47,1908
3,Sweden,8,6,11,25,1908
4,France,5,5,9,19,1908
5,Germany,3,5,5,13,1908
6,Hungary,3,4,2,9,1908
7,Canada,3,3,10,16,1908
8,Norway,2,3,3,8,1908
9,Italy,2,2,0,4,1908
10,Belgium,1,5,2,8,1908
11,Australasia,1,2,2,5,1908
12,Russian Empire,1,2,0,3,1908
13,Finland,1,1,3,5,1908
14,South Africa,1,1,0,2,1908
15,Greece,0,3,1,4,1908
